tweet,text,hashtag,mention,username,like_count,retweet_count,tweet_length,tweet_word_count
current condition : # singaporegp # f1,current condition :,singaporegp  f1 ,,F1,31257,1611,68,6
"driver see see great save , @ carlossainz55 ! # singaporegp # f1 ( ig/f1_gresty )","driver see see great save , ! ( ig/f1_gresty )",singaporegp  f1 ,carlossainz55,F1,5018,394,125,17
sparking quali day ! # singaporegp # f1,sparking quali day !,singaporegp  f1 ,,F1,2838,194,68,8
albono back ... smile positive friday return # singaporegp # f1 @ alex_albon,albono back ... smile positive friday return,singaporegp  f1 ,alex_albon,F1,3553,145,108,19
"get drift , lewis # singaporegp @ mercedesamgf1","get drift , lewis",singaporegp ,mercedesamgf1 ,F1,9154,597,79,9
cool ! # singaporegp @ astonmartinf1,cool !,singaporegp ,astonmartinf1 ,F1,3780,167,62,4
friday practice check learned first day back marina bay ! # singaporegp # f1,friday practice check learned first day back marina bay !,singaporegp  f1,,F1,1484,95,100,18
qualifying always crucial singapore miss action marina bay # singaporegp @ rolex,qualifying always crucial singapore miss action marina bay,singaporegp ,rolex ,F1,2710,230,135,20
room improvement max verstappen reflects fp2 session limited running still finished p4 # singaporegp # f1,room improvement max verstappen reflects fp2 session limited running still finished p4,singaporegp  f1   ,,F1,1847,71,164,23
wow # singaporegp # f1,wow,singaporegp  f1 ,,F1,15628,955,52,6
p1 p5 friday practice lewis hamilton think pace come mercedes weekend # singaporegp # f1,p1 p5 friday practice lewis hamilton think pace come mercedes weekend,singaporegp  f1   ,,F1,2267,98,154,23
good see f1 car back ? ! # singaporegp @ charles_leclerc,good see f1 car back ? !,singaporegp ,charles_leclerc ,F1,5377,574,98,14
george russell got intimately acquainted turn 11 friday # singaporegp # f1,george russell got intimately acquainted turn 11 friday,singaporegp  f1 ,,F1,5910,305,107,14
spark flew light singapore friday ! catch fp2 action marina bay # singaporegp # f1,spark flew light singapore friday ! catch fp2 action marina bay,singaporegp  f1,,F1,1848,144,126,23
gefeliciteerd max ! hope enjoying day on-track singapore ! looking forward making happy memory # singaporegp # f1 @ redbullracing @ max33verstappen,gefeliciteerd max ! hope enjoying day on-track singapore ! looking forward making happy memory,singaporegp  f1 ,redbullracing  max33verstappen ,F1,5235,515,223,31
"careful kissing barrier , lad # singaporegp # f1","careful kissing barrier , lad",singaporegp  f1 ,,F1,4452,304,80,9
fp2 report : sainz leclerc sparkle second practice marina bay # singaporegp # f1,fp2 report : sainz leclerc sparkle second practice marina bay,singaporegp  f1   ,,F1,1528,105,116,16
fiery moment pierre gasly pit lane fp2 frenchman escaped cockpit injury alphatauri car suddenly caught fire flame extinguished # singaporegp # f1,fiery moment pierre gasly pit lane fp2 frenchman escaped cockpit injury alphatauri car suddenly caught fire flame extinguished,singaporegp  f1 ,,F1,17864,1543,229,34
fp2 classification @ scuderiaferrari 1-2 # singaporegp # f1,fp2 classification 1-2,singaporegp  f1 ,scuderiaferrari ,F1,5541,649,85,8
end fp2 top 10 sainz leclerc russell verstappen hamilton ocon bottas alonso perez stroll # singaporegp # f1,end fp2 top 10 sainz leclerc russell verstappen hamilton ocon bottas alonso perez stroll,singaporegp  f1 ,,F1,3269,311,142,21
fastest sector valtteri | lewis | carlos # singaporegp # f1,fastest sector valtteri | lewis | carlos,singaporegp  f1 ,,F1,3556,252,87,11
let go ! # singaporegp # f1,let go !,singaporegp  f1 ,,F1,3116,192,53,6
charles still waiting jump car look like track soon # singaporegp # f1,charles still waiting jump car look like track soon,singaporegp  f1 ,,F1,6632,430,127,21
20 min 60 gone ... carlos sainz lead way # singaporegp # f1,20 min 60 gone ... carlos sainz lead way,singaporegp  f1 ,,F1,2573,152,97,15
exactly sure going @ haasf1team mechanic enjoying ! # singaporegp # f1,exactly sure going mechanic enjoying !,singaporegp  f1 ,haasf1team ,F1,2752,105,147,20
fp2 green light car coming track including lewis hamilton led first practice earlier # singaporegp # f1,fp2 green light car coming track including lewis hamilton led first practice earlier,singaporegp  f1 ,,F1,1760,115,147,22
floodlight ready fp2 # singaporegp # f1,floodlight ready fp2,singaporegp  f1 ,,F1,3529,291,90,13
street circuit awfully tricky max discovered ! catch highlight opening session singapore # singaporegp # f1,street circuit awfully tricky max discovered ! catch highlight opening session singapore,singaporegp  f1,,F1,2073,138,154,26
singaporean rapper @ yung_raja take # f1tracks grand prix return lion city ! listen playlist takeover @ spotify # singaporegp # f1,singaporean rapper take grand prix return lion city ! listen playlist takeover,f1tracks  singaporegp  f1,yung_raja  spotify ,F1,699,45,189,28
carlos ! got u edge seat # singaporegp # f1 @ carlossainz55 @ scuderiaferrari,carlos ! got u edge seat,singaporegp  f1 ,carlossainz55  scuderiaferrari ,F1,4284,257,130,18
first casualty singapore street circuit barrier lance stroll costly error turn 5 # singaporegp # f1,first casualty singapore street circuit barrier lance stroll costly error turn 5,singaporegp  f1 ,,F1,2782,173,155,23
"oh singapore , never disappoint # singaporegp # f1 @ f1nightrace","oh singapore , never disappoint",singaporegp  f1 ,f1nightrace ,F1,5158,413,91,10
hamilton lead verstappen leclerc singapore opening practice session # singaporegp # f1,hamilton lead verstappen leclerc singapore opening practice session,singaporegp  f1   ,,F1,2035,134,129,16
ride onboard @ alex_albon upon return magical marina bay street circuit # singaporegp # f1 @ williamsracing,ride onboard upon return magical marina bay street circuit,singaporegp  f1 ,alex_albon  williamsracing ,F1,2688,255,148,19
final classification lewis hamilton set pace fp1 ! # singaporegp # f1,final classification lewis hamilton set pace fp1 !,singaporegp  f1 ,,F1,8871,1027,104,14
"fp1 - top ten first time season , @ lewishamilton top practice session ! top 10 hamilton verstappen leclerc perez russell sainz ocon stroll gasly alonso # singaporegp # f1","fp1 - top ten first time season , top practice session ! top 10 hamilton verstappen leclerc perez russell sainz ocon stroll gasly alonso",singaporegp  f1 ,lewishamilton ,F1,4713,458,217,33
max find pushing bit hard run deep dutchman forced quick pirouette continue # singaporegp # f1,max find pushing bit hard run deep dutchman forced quick pirouette continue,singaporegp  f1 ,,F1,2156,123,162,27
lewis hamilton go fastest ! mercedes driver take top spot 5 minute remaining fp1 # singaporegp # f1,lewis hamilton go fastest ! mercedes driver take top spot 5 minute remaining fp1,singaporegp  f1 ,,F1,9762,644,144,21
"singapore skyline @ charles_leclerc eye good lap ferrari driver , put p2 ! # singaporegp # f1","singapore skyline eye good lap ferrari driver , put p2 !",singaporegp  f1 ,charles_leclerc ,F1,1822,118,160,23
"carlos spaniard defying odds singapore moment , pushing incredibly hard ! ! ! # singaporegp # f1","carlos spaniard defying odds singapore moment , pushing incredibly hard ! ! !",singaporegp  f1 ,,F1,2248,119,152,22
session resumed ! car head final 16 minute fp1 # singaporegp # f1,session resumed ! car head final 16 minute fp1,singaporegp  f1 ,,F1,1437,90,120,19
red flag session red-flagged lance stroll stop car turn 7 escape road replay show stroll hit wall turn 5 ! # singaporegp # f1,red flag session red-flagged lance stroll stop car turn 7 escape road replay show stroll hit wall turn 5 !,singaporegp  f1 ,,F1,1834,136,193,34
lance stroll going slowly look canadian driver moment barrier on-track ! # singaporegp # f1,lance stroll going slowly look canadian driver moment barrier on-track !,singaporegp  f1 ,,F1,1439,81,159,25
: moment carlos almost loses never underestimate tricky street circuit # singaporegp # f1,: moment carlos almost loses never underestimate tricky street circuit,singaporegp  f1 ,,F1,2923,133,151,24
lando norris take street fancy new @ mclarenf1 livery singapore japan peep new helmet ! # singaporegp # f1,lando norris take street fancy new livery singapore japan peep new helmet !,singaporegp  f1 ,mclarenf1 ,F1,3369,181,163,25
"fastest sector - fp1 far , good birthday boy @ max33verstappen singapore ! # singaporegp # f1","fastest sector - fp1 far , good birthday boy singapore !",singaporegp  f1 ,max33verstappen ,F1,2673,227,130,18
"charles return track ! break watching sideline due brake issue , back sending round singapore # singaporegp # f1","charles return track ! break watching sideline due brake issue , back sending round singapore",singaporegp  f1 ,,F1,1669,110,181,28
"20 minute gone far fp1 ! max remains top , team mate checo sitting p2 , mighty fernando alonso p3 # singaporegp # f1","20 minute gone far fp1 ! max remains top , team mate checo sitting p2 , mighty fernando alonso p3",singaporegp  f1 ,,F1,1711,147,170,29
monegasque driver forced watch garage .... # singaporegp # f1,monegasque driver forced watch garage ....,singaporegp  f1 ,,F1,1261,71,114,16
issue ongoing charles leclerc brake issue # singaporegp # f1,issue ongoing charles leclerc brake issue,singaporegp  f1 ,,F1,8740,296,93,11
close george ! mercedes driver tap barrier lock back pit go # singaporegp # f1,close george ! mercedes driver tap barrier lock back pit go,singaporegp  f1 ,,F1,1991,144,147,24
oh jost always got eye u # singaporegp # f1 @ williamsracing,oh jost always got eye u,singaporegp  f1 ,williamsracing ,F1,2961,101,99,15
max go fastest round marina bay time 1:47.239 birthday boy # singaporegp # f1,max go fastest round marina bay time 1:47.239 birthday boy,singaporegp  f1 ,,F1,2342,162,125,20
"charles leclerc get first taste singapore since 2019 last time around , monegasque driver picked pole # singaporegp # f1","charles leclerc get first taste singapore since 2019 last time around , monegasque driver picked pole",singaporegp  f1 ,,F1,2069,146,161,23
car track car track # singaporegp # f1,car track car track,singaporegp  f1 ,,F1,2280,160,73,11
lovely see albono back action # singaporegp # f1,lovely see albono back action,singaporegp  f1 ,,F1,2209,130,79,11
oh singapore good back ! ready fp1 action ? # singaporegp # f1,oh singapore good back ! ready fp1 action ?,singaporegp  f1 ,,F1,2326,239,119,19
"lando meet marshmello ! , helmet swap # singaporegp # f1","lando meet marshmello ! , helmet swap",singaporegp  f1 ,,F1,23574,1088,97,14
familiar face arriving first day back on-track singapore 3 year ! * bit * excited # singaporegp # f1,familiar face arriving first day back on-track singapore 3 year ! * bit * excited,singaporegp  f1 ,,F1,3149,165,154,24
birthday cake birthday boy ! # singaporegp # f1 @ max33verstappen @ redbullracing,birthday cake birthday boy !,singaporegp  f1 ,max33verstappen  redbullracing ,F1,19321,1302,111,12
wishing happy birthday super max ! ! finger crossed @ redbullracing @ schecoperez birthday surprise store # singaporegp # f1 @ max33verstappen,wishing happy birthday super max ! ! finger crossed birthday surprise store,singaporegp  f1 ,redbullracing  schecoperez  max33verstappen ,F1,34601,3217,204,28
welcome return calendar marina bay street circuit pose challenge like # f1 # singaporegp,welcome return calendar marina bay street circuit pose challenge like,f1  singaporegp ,,F1,1903,123,141,22
oh danny ric honey badger resist teasing @ georgerussell63 medium pen ! # singaporegp # f1 @ danielricciardo,oh danny ric honey badger resist teasing medium pen !,singaporegp  f1 ,georgerussell63  danielricciardo ,F1,9536,519,152,20
max secure title singapore ? man admits need lot good fortune # f1 # singaporegp,max secure title singapore ? man admits need lot good fortune,f1  singaporegp ,,F1,2193,96,151,26
quickest man marina bay k-mag set lap record street singapore 2018 also set fastest lap last visit 2019 # f1 # singaporegp @ kevinmagnussen,quickest man marina bay k-mag set lap record street singapore 2018 also set fastest lap last visit 2019,f1  singaporegp ,kevinmagnussen ,F1,11982,440,209,36
one : danny ric : # f1 # singaporegp @ danielricciardo,one : danny ric :,f1  singaporegp ,danielricciardo ,F1,20121,734,81,9
light beautiful singapore # singaporegp # f1,light beautiful singapore,singaporegp  f1 ,,F1,6250,277,83,10
driver prepare tackle track push even best absolute limit # f1 # singaporegp,driver prepare tackle track push even best absolute limit,f1  singaporegp ,,F1,2419,140,133,20
welcome singapore nice back # f1 # singaporegp,welcome singapore nice back,f1  singaporegp ,,F1,6065,319,88,13
sat long hard think . feel 'm ready . # f1 # singaporegp,sat long hard think . feel 'm ready .,f1  singaporegp ,,F1,1585,58,108,18
victory target singapore leclerc aim show ferrari learnt past error # f1 # singaporegp,victory target singapore leclerc aim show ferrari learnt past error,f1  singaporegp ,,F1,1919,109,151,24
warrior spirit great back u @ alex_albon # f1 # singaporegp,warrior spirit great back u,f1  singaporegp ,alex_albon ,F1,3670,205,108,16
staying f1 2023 target danny ric # f1 # singaporegp,staying f1 2023 target danny ric,f1  singaporegp ,,F1,6190,188,94,15
crossing line together day 2002 rubens barrichello took race victory michael schumacher 0.011 second # f1,crossing line together day 2002 rubens barrichello took race victory michael schumacher 0.011 second,f1 ,,F1,13691,878,163,25
need know ahead sunday race # singaporegp digital programme available ! # f1,need know ahead sunday race digital programme available !,singaporegp  f1,,F1,923,43,107,19
anybody able stop max street singapore ? check handy form guide see may mix victory # f1 # singaporegp,anybody able stop max street singapore ? check handy form guide see may mix victory,f1  singaporegp ,,F1,1186,59,180,33
wishing jost happy birthday ! # f1 @ williamsracing,wishing jost happy birthday !,f1 ,williamsracing ,F1,17040,321,82,10
hope get another opportunity get back grid next year . # f1,hope get another opportunity get back grid next year .,f1 ,,F1,6214,224,124,21
miami austin vega haas bos guenther steiner looking forward three race united state 2023 # f1,miami austin vega haas bos guenther steiner looking forward three race united state 2023,f1 ,,F1,2606,109,146,25
notorious singapore sling chicane could make break race # f1 # singaporegp,notorious singapore sling chicane could make break race,f1  singaporegp ,,F1,9531,513,121,18
five time winner marina bay street circuit sebastian vettel - lion singapore # f1 # singaporegp,five time winner marina bay street circuit sebastian vettel - lion singapore,f1  singaporegp ,,F1,10077,1026,140,22
's one talented driver ever come formula 1 . # f1,'s one talented driver ever come formula 1 .,f1 ,,F1,2847,107,99,16
light away le-go # f1 # singaporegp @ landonorris,light away le-go,f1  singaporegp ,landonorris ,F1,12027,653,85,11
date diary f1 coming la vega november all-day launch party # f1 # lasvegasgp,date diary f1 coming la vega november all-day launch party,f1  lasvegasgp ,,F1,1501,111,136,23
wishing flying finn happy birthday many happy return two-time world champion @ f1mikahakkinen # f1,wishing flying finn happy birthday many happy return two-time world champion,f1 ,f1mikahakkinen ,F1,7227,448,147,21
"ten year ago today , incredible journey began","ten year ago today , incredible journey began",,,F1,17996,943,50,9
alex albon back behind wheel williams friday # f1 # singaporegp,alex albon back behind wheel williams friday,f1  singaporegp ,,F1,2835,139,110,17
today something little bit unusual announcing partnership begin four year ' time . mercedes petronas # f1,today something little bit unusual announcing partnership begin four year ' time . mercedes petronas,f1 ,,F1,2689,110,167,26
martin donnelly guest week beyond grid podcast northern irishman reflects time f1 crash 1990 spanish grand prix cut career short # f1 # f1beyondthegrid,martin donnelly guest week beyond grid podcast northern irishman reflects time f1 crash 1990 spanish grand prix cut career short,f1  f1beyondthegrid ,,F1,893,37,259,39
eye @ max33verstappen dutchman take title singapore weekend # singaporegp # f1,eye dutchman take title singapore weekend,singaporegp  f1 ,max33verstappen ,F1,30328,2519,144,21
recycling sustainable fuel tweaking global footprint step f1 taking achieve net carbon zero 2030 # f1,recycling sustainable fuel tweaking global footprint step f1 taking achieve net carbon zero 2030,f1 ,,F1,3622,119,150,24
overtake felipe massa singapore totally bonkers ! # singaporegp # f1,overtake felipe massa singapore totally bonkers !,singaporegp  f1 ,,F1,12305,606,107,14
win battle fourth alpine ( 125 point ) mclaren ( 107 ) ? could hinge late-season upgrade # techtuesday # f1,win battle fourth alpine ( 125 point ) mclaren ( 107 ) ? could hinge late-season upgrade,techtuesday  f1    ,,F1,2066,68,175,26
class act oscar piastri praise daniel ricciardo reaching mclaren driver market drama # f1,class act oscar piastri praise daniel ricciardo reaching mclaren driver market drama,f1   ,,F1,5745,172,135,19
detail # f1sprint,detail,f1sprint   ,,F1,1090,87,51,5
breaking : f1 sprint confirmed feature six race weekend 2023 onwards # f1,breaking : f1 sprint confirmed feature six race weekend 2023 onwards,f1 ,,F1,18438,1720,108,15
driver firefighter ! heikki kovalainen came rescue engine fire ended race back 2010 # singaporegp # f1,driver firefighter ! heikki kovalainen came rescue engine fire ended race back 2010,singaporegp  f1 ,,F1,5441,273,158,24
zhou guanyu super proud staying @ alfaromeoorlen 2023 # f1,zhou guanyu super proud staying 2023,f1,alfaromeoorlen ,F1,6021,200,78,14
hitchin lift f1 style ! # singaporegp # f1,hitchin lift f1 style !,singaporegp  f1 ,,F1,11681,714,69,9
made big impression rookie year ! @ zhouguanyu24 # f1 @ alfaromeoorlen,made big impression rookie year !,f1 ,zhouguanyu24    alfaromeoorlen ,F1,9399,389,110,14
full story # f1 @ zhouguanyu24,full story,f1 ,zhouguanyu24   ,F1,1604,85,57,6
breaking : zhou guanyu stay alfa romeo 2023 ! # f1 @ alfaromeoorlen,breaking : zhou guanyu stay alfa romeo 2023 !,f1 ,alfaromeoorlen ,F1,95835,5742,100,13
"@ cota wait , @ cota !","wait , !",,cota  cota,F1,89,6,29,6
replace latifi williams next season ? @ lawrobarretto weighs chance four driver currently contention # f1,replace latifi williams next season ? weighs chance four driver currently contention,f1   ,lawrobarretto ,F1,2598,107,158,22
golden clip sunshine archive danny ric # singaporegp # f1,golden clip sunshine archive danny ric,singaporegp  f1 ,,F1,14411,562,97,14
face-to-face godzilla ! # singaporegp # f1,face-to-face godzilla !,singaporegp  f1 ,,F1,17992,1323,73,7
max verstappen never singapore weekend could clinch world title @ chrismedlandf1 look storyline spotlight return marina bay first time since 2019 # singaporegp # f1,max verstappen never singapore weekend could clinch world title look storyline spotlight return marina bay first time since 2019,singaporegp  f1   ,chrismedlandf1 ,F1,2934,166,265,44
nowhere atmosphere quite like @ f1nightrace # singaporegp # f1,nowhere atmosphere quite like,singaporegp  f1 ,f1nightrace ,F1,7373,698,93,11
r c e w e e k # singaporegp @ f1nightrace,r c e w e e k,singaporegp ,f1nightrace ,F1,46968,4913,72,14
"leading race comfortably , ... # singaporegp # f1","leading race comfortably , ...",singaporegp  f1 ,,F1,16585,994,82,9
sebastian vettel really . # singaporegp # f1 @ scuderiaferrari,sebastian vettel really .,singaporegp  f1 ,scuderiaferrari ,F1,31405,2030,95,10
time running ! get 30 % f1 store flash sale weekend,time running ! get 30 % f1 store flash sale weekend,,,F1,2457,121,77,16
singapore always put ultimate light show # singaporegp # f1,singapore always put ultimate light show,singaporegp  f1 ,,F1,12219,895,92,12
"one week , finally go racing singapore ... @ f1nightrace , missed ! # singaporegp # f1","one week , finally go racing singapore ... , missed !",singaporegp  f1,f1nightrace,F1,10418,596,114,18
"pumped best-ever finish time , p4 ! @ carlossainz55 load success since 2017 ... first boomshakalaka always special place # singaporegp # f1","pumped best-ever finish time , p4 ! load success since 2017 ... first boomshakalaka always special place",singaporegp  f1 ,carlossainz55 ,F1,6577,364,215,33
hold tight one @ lewishamilton insane pole lap singapore 2018 ... # singaporegp # f1 @ mercedesamgf1,hold tight one insane pole lap singapore 2018 ...,singaporegp  f1 ,lewishamilton  mercedesamgf1 ,F1,16509,1618,139,18
"never , ever change , patrice @ evra ! love game ... hope # f1pirellihotlaps experience monza much fun looked # f1 @ pirellisport","never , ever change , patrice ! love game ... hope experience monza much fun looked",f1pirellihotlaps  f1 ,evra pirellisport ,F1,2541,160,189,29
fine duel three last time singapore ! # singaporegp # f1,fine duel three last time singapore !,singaporegp  f1 ,,F1,7178,394,93,14
max well ahead 13 finish 2022 podium lot ? # f1,max well ahead 13 finish 2022 podium lot ?,f1 ,,F1,19407,578,123,23
2022 driver market sure eventful nyck de vries picture 2023 ? # f1,2022 driver market sure eventful nyck de vries picture 2023 ?,f1  ,,F1,3673,119,124,21
first day job @ felipedrugovich ! reigning @ formula2 champ getting speed new role @ astonmartinf1 development driver # f1,first day job ! reigning champ getting speed new role development driver,f1   ,felipedrugovich formula2  astonmartinf1 ,F1,8250,469,183,27
could see seb return another role ... ? # f1,could see seb return another role ... ?,f1   ,,F1,7739,223,76,11
three year special memory ... @ nicholaslatifi @ williamsracing # f1,three year special memory ...,f1 ,nicholaslatifi  williamsracing   ,F1,6507,305,102,11
got style ... got tune ! @ zhouguanyu24 put together latest # f1tracks playlist - listen @ spotify ! # f1 @ alfaromeoorlen,got style ... got tune ! put together latest playlist - listen !,f1tracks  f1 ,zhouguanyu24  spotify alfaromeoorlen,F1,3083,159,157,25
happy birthday safety car ! lot changed 49 year ! porsche 914 @ mercedesamg gt black series @ astonmartin vantage # f1,happy birthday safety car ! lot changed 49 year ! porsche 914 gt black series vantage,f1 ,mercedesamg  astonmartin ,F1,15166,982,175,29
another twist ... # f1,another twist ...,f1 ,,F1,39574,2631,47,5
's still fantastic journey @ nicholaslatifi @ williamsracing part way 2022 season # f1,'s still fantastic journey part way 2022 season,f1   ,nicholaslatifi  williamsracing ,F1,3144,118,143,19
breaking : nicholas latifi leave williams end 2022 season # f1,breaking : nicholas latifi leave williams end 2022 season,f1 ,,F1,118033,8004,102,15
alpine 18 point lead mclaren battle p4 # f1 # formula1,alpine 18 point lead mclaren battle p4,f1  formula1 ,,F1,2503,73,107,17
nice move yuki 2023 # f1 # formula1,nice move yuki 2023,f1  formula1 ,,F1,8270,932,82,13
yuki tsunoda full confidence following 2023 contract announcement # f1 # formula1,yuki tsunoda full confidence following 2023 contract announcement,f1  formula1 ,,F1,3791,172,116,15
think 'll always mercedes day die # f1 # formula1,think 'll always mercedes day die,f1  formula1 ,,F1,8265,370,99,16
ca n't wait laugh yuki 2023 ! # f1 # formula1,ca n't wait laugh yuki 2023 !,f1  formula1 ,,F1,7592,569,89,14
third year f1 lie ahead yuki tsunoda @ lawrobarretto look reason alphatauri retained japanese driver 2023 # f1 # formula1,third year f1 lie ahead yuki tsunoda look reason alphatauri retained japanese driver 2023,f1  formula1 ,lawrobarretto ,F1,3668,254,180,28
"hate driving car driving , unsuited driving style . # f1 # formula1","hate driving car driving , unsuited driving style .",f1  formula1 ,,F1,4471,143,137,24
"# onthisday 2019 , lion singapore , sebastian vettel , roared stormed fifth victory marina bay momentous occasion marked final time seb would achieve victory @ scuderiaferrari red # singaporegp # f1","2019 , lion singapore , sebastian vettel , roared stormed fifth victory marina bay momentous occasion marked final time seb would achieve victory red",onthisday  singaporegp  f1 ,scuderiaferrari ,F1,12680,1280,264,40
yuki talented driver improved lot season . pace shown recently clear evidence steep learning curve,yuki talented driver improved lot season . pace shown recently clear evidence steep learning curve,,,F1,4390,335,168,28
breaking : yuki tsunoda stay @ alphataurif1 2023 ! # f1,breaking : yuki tsunoda stay 2023 !,f1 ,alphataurif1 ,F1,96025,9985,102,13
champion racer # f1beyondthegrid # f1,champion racer,f1beyondthegrid  f1 ,,F1,26140,867,63,6
"ferrari red bull done excellent job @ mclarenf1 technical director , james key , impressed rate team development 2022 . # f1","ferrari red bull done excellent job technical director , james key , impressed rate team development 2022 .",f1   ,mclarenf1 ,F1,1952,74,195,28
great driver christian horner hail talent oscar piastri regret red bull passing opportunity australian promising junior . # f1,great driver christian horner hail talent oscar piastri regret red bull passing opportunity australian promising junior .,f1   ,,F1,2869,98,196,29
like cheeky midweek donut ? ! see scene seb come end season ? ! # f1,like cheeky midweek donut ? ! see scene seb come end season ? !,f1 ,,F1,9791,674,141,25
"new regs , new overtaking opportunity ... christian horner big fan ! @ redbullracing team bos guest week # f1beyondthegrid # f1","new regs , new overtaking opportunity ... christian horner big fan ! team bos guest week",f1beyondthegrid  f1,redbullracing ,F1,4088,172,157,25
"lance certainly scared going fernando car aston martin team principal , mike krack , say canadian relishing teaming alonso next season # f1","lance certainly scared going fernando car aston martin team principal , mike krack , say canadian relishing teaming alonso next season",f1     ,,F1,3359,96,219,34
"christian horner week # f1beyondthegrid guest ! red bull team bos open last season epic title battle , rivalry toto wolff , quest driver team glory 2022 # f1 @ redbullracing","christian horner week guest ! red bull team bos open last season epic title battle , rivalry toto wolff , quest driver team glory 2022",f1beyondthegrid  f1 ,redbullracing   ,F1,2340,112,252,39
deserves place f1 george russell max verstappen laud @ nyckdevries debut monza # italiangp # f1,deserves place f1 george russell max verstappen laud debut monza,italiangp  f1   ,nyckdevries ,F1,3763,167,144,21
new three-year deal # monacogp # f1,new three-year deal,monacogp  f1   ,,F1,2256,141,75,10
2023 calendar detail # f1,2023 calendar detail,f1   ,,F1,1523,136,59,7
breaking : monaco grand prix f1 race calendar least 2025 # f1,breaking : monaco grand prix f1 race calendar least 2025,f1 ,,F1,88131,5350,114,19
introducing 2023 f1 calendar get set record-breaking 24 race next season ! # f1,introducing 2023 f1 calendar get set record-breaking 24 race next season !,f1 ,,F1,66268,9453,116,17
's juan pablo montoya 's birthday - many happy return ! hope colombian day special pas ! # f1,'s juan pablo montoya 's birthday - many happy return ! hope colombian day special pas !,f1 ,,F1,11578,1314,146,24
ferrari red bull week # techtuesday look performance race swung fast-starting f1-75 dominant rb18 # f1,ferrari red bull week look performance race swung fast-starting f1-75 dominant rb18,techtuesday  f1 ,,F1,1739,92,181,29
"de vries superb debut verstappen winning streak driver market latest week f1 nation tom , natalie , damon look back action-packed triple header episode > > # f1","de vries superb debut verstappen winning streak driver market latest week f1 nation tom , natalie , damon look back action-packed triple header episode > >",f1   ,,F1,1712,73,257,36
leclerc put together shock recovery run final six round season turn table ? max tied ? # f1,leclerc put together shock recovery run final six round season turn table ? max tied ?,f1   ,,F1,7765,223,172,31
"# onthisday singapore , nico rosberg achieved victory 200th formula 1 race ! memorable day involved @ mercedesamgf1 # singaporegp # f1","singapore , nico rosberg achieved victory 200th formula 1 race ! memorable day involved",onthisday  singaporegp  f1 ,mercedesamgf1 ,F1,7977,430,181,26
race excited next ? ! # f1,race excited next ? !,f1,,F1,11389,185,48,10
look like @ mercedesamgf1 exploring option 2023 car ! wonder looking next season .... # f1,look like exploring option 2023 car ! wonder looking next season ....,f1   ,mercedesamgf1 ,F1,3499,143,156,23
"2022 # f1esports pro series championship back action ! contender 2022 title took bahrain , imola silverstone opening race season , boy lot action ! # f1","2022 pro series championship back action ! contender 2022 title took bahrain , imola silverstone opening race season , boy lot action !",f1esports  f1 ,,F1,2145,90,244,42
"maroon 5 ? pfft , know maroon 2 happy # f1esports returned , wait action - funny moment season bring ! # f1","maroon 5 ? pfft , know maroon 2 happy returned , wait action - funny moment season bring !",f1esports  f1 ,,F1,1264,62,194,34
"bon anniversaire @ oconesteban making many special memory , esteban ! # f1 @ alpinef1team","bon anniversaire making many special memory , esteban !",f1 ,oconesteban  alpinef1team ,F1,5621,303,140,18
happy birthday esteban ! hope fantastic day celebrating turning 26 ! # f1 @ oconesteban,happy birthday esteban ! hope fantastic day celebrating turning 26 !,f1 ,oconesteban ,F1,19164,882,129,18
"hope see back u soon , @ alex_albon ! # f1 @ williamsracing","hope see back u soon , !",f1 ,alex_albon williamsracing   ,F1,4475,155,99,14
"first f1 esports event season history book ! three race , two winner , plenty talking point # f1esports # f1","first f1 esports event season history book ! three race , two winner , plenty talking point",f1esports  f1   ,,F1,1488,61,165,26
esports standing doubt - @ lucasblakeley01 man beat ! anyone catch @ mclarenshadow next time ? # f1esports # f1,esports standing doubt - man beat ! anyone catch next time ?,f1esports  f1 ,lucasblakeley01  mclarenshadow ,F1,2741,110,171,25
frede take 11 all-time leading f1 esports race-winner @ g2frede notch first win 2022 fine style silverstone # f1esports # f1 @ redbullracinges,frede take 11 all-time leading f1 esports race-winner notch first win 2022 fine style silverstone,f1esports  f1 ,g2frede  redbullracinges ,F1,1571,70,188,27
"@ aramco driver day silverstone ... - never outside top three qualifying - 2022 pro exhibition champion - , podium-scorer f1 esports take bow , @ thomasronhaar1 ! # f1esports # f1","driver day silverstone ... - never outside top three qualifying - 2022 pro exhibition champion - , podium-scorer f1 esports take bow , !",f1esports  f1 ,aramco  thomasronhaar1,F1,1452,77,243,38
points-scorers silverstone ! impressed ? # f1esports # f1 @ aramco,points-scorers silverstone ! impressed ?,f1esports  f1 ,aramco ,F1,792,30,109,13
rasmussen back ! @ g2frede hold take first victory season ahead @ thomasronhaar1 @ lucasblakeley01 ! # f1esports # f1 @ aramco,rasmussen back ! hold take first victory season ahead !,f1esports  f1 ,g2frede  thomasronhaar1  lucasblakeley01 aramco ,F1,2210,86,172,23
@ alex_albon rest albono ! wait see back paddock,rest albono ! wait see back paddock,,alex_albon ,F1,4638,37,74,15
race-winning move thursday night ! @ lucasblakeley01 perfect start two victory far ... winning race 3 ? join u find ! # f1esports # f1,race-winning move thursday night ! perfect start two victory far ... winning race 3 ? join u find !,f1esports  f1,lucasblakeley01 ,F1,1208,41,173,29
